year,origin,destin,id,dist,passen,fare,bmktshr,concen
1998,"ATLANTA, GA","FLINT, MI",58,644,188,102,0.8543,0.8543
1999,"ATLANTA, GA","FLINT, MI",58,644,174,110,0.8734,0.8734
2000,"ATLANTA, GA","FLINT, MI",58,644,184,124,0.8358999,0.8358999
1997,"ATLANTA, GA","FT. LAUDERDALE, FL",59,581,1694,120,0.7829,0.7829
1998,"ATLANTA, GA","FT. LAUDERDALE, FL",59,581,1644,114,0.7339,0.7339
1999,"ATLANTA, GA","FT. LAUDERDALE, FL",59,581,1588,126,0.7434,0.7434
2000,"ATLANTA, GA","FT. LAUDERDALE, FL",59,581,1653,137,0.7172,0.7172
1997,"ATLANTA, GA","FT. MYERS, FL",60,515,376,121,0.8081,0.8081
1998,"ATLANTA, GA","FT. MYERS, FL",60,515,425,112,0.725,0.725
1999,"ATLANTA, GA","FT. MYERS, FL",60,515,420,127,0.6824,0.6824
2000,"ATLANTA, GA","FT. MYERS, FL",60,515,460,127,0.7254,0.7254
1997,"ATLANTA, GA","GREENSBORO, NC",61,306,325,224,0.9147,0.9147
1998,"ATLANTA, GA","GREENSBORO, NC",61,306,551,128,0.7516,0.7516
1999,"ATLANTA, GA","GREENSBORO, NC",61,306,682,101,0.7130001,0.7130001
2000,"ATLANTA, GA","GREENSBORO, NC",61,306,710,110,0.665,0.665
1997,"ATLANTA, GA","HARTFORD, CT",62,859,533,249,0.8214,0.8214
1998,"ATLANTA, GA","HARTFORD, CT",62,859,874,129,0.7509,0.7509
1999,"ATLANTA, GA","HARTFORD, CT",62,859,918,131,0.8211,0.8211
2000,"ATLANTA, GA","HARTFORD, CT",62,859,759,197,0.8162,0.8162
1997,"ATLANTA, GA","HOUSTON, TX",63,692,1352,123,0.4811,0.4811
1998,"ATLANTA, GA","HOUSTON, TX",63,692,1441,126,0.4239,0.4239
1999,"ATLANTA, GA","HOUSTON, TX",63,692,1518,133,0.4878,0.4878
2000,"ATLANTA, GA","HOUSTON, TX",63,692,1554,151,0.4528,0.4528
1997,"ATLANTA, GA","INDIANAPOLIS, IN",64,432,442,206,0.821,0.821
1998,"ATLANTA, GA","INDIANAPOLIS, IN",64,432,491,199,0.8558,0.8558
1999,"ATLANTA, GA","INDIANAPOLIS, IN",64,432,456,214,0.8449,0.8449
2000,"ATLANTA, GA","INDIANAPOLIS, IN",64,432,434,235,0.8269,0.8269
1997,"ATLANTA, GA","JACKSON, MS",65,341,198,237,0.9435,0.9435
1998,"ATLANTA, GA","JACKSON, MS",65,341,194,234,0.9619,0.9619
1999,"ATLANTA, GA","JACKSON, MS",65,341,201,247,0.9703,0.9703
2000,"ATLANTA, GA","JACKSON, MS",65,341,176,269,0.9568,0.9568
1997,"ATLANTA, GA","JACKSONVILLE, FL",66,270,885,98,0.8512,0.8512
1998,"ATLANTA, GA","JACKSONVILLE, FL",66,270,1027,93,0.7278,0.7278
1999,"ATLANTA, GA","JACKSONVILLE, FL",66,270,1032,94,0.7643,0.7643
2000,"ATLANTA, GA","JACKSONVILLE, FL",66,270,955,119,0.7078,0.7078
1997,"ATLANTA, GA","KANSAS CITY, MO",67,693,887,114,0.7467,0.7467
1998,"ATLANTA, GA","KANSAS CITY, MO",67,693,799,162,0.678,0.678
1999,"ATLANTA, GA","KANSAS CITY, MO",67,693,930,135,0.7504,0.7504
2000,"ATLANTA, GA","KANSAS CITY, MO",67,693,808,168,0.6367,0.6367
1997,"ATLANTA, GA","LAS VEGAS, NV",68,1747,721,181,0.6806,0.6806
1998,"ATLANTA, GA","LAS VEGAS, NV",68,1747,688,217,0.6765,0.6765
1999,"ATLANTA, GA","LAS VEGAS, NV",68,1747,715,237,0.5985,0.5985
2000,"ATLANTA, GA","LAS VEGAS, NV",68,1747,816,221,0.6752,0.6752
1997,"ATLANTA, GA","LEXINGTON/FRANKFORT, KY",69,303,179,156,0.8321,0.8321
1998,"ATLANTA, GA","LEXINGTON/FRANKFORT, KY",69,303,133,204,0.991,0.991
1999,"ATLANTA, GA","LEXINGTON/FRANKFORT, KY",69,303,121,232,0.9811,0.9811
2000,"ATLANTA, GA","LEXINGTON/FRANKFORT, KY",69,303,127,232,0.9829,0.9829
1997,"ATLANTA, GA","LITTLE ROCK, AR",70,453,216,184,0.8511,0.8511
1998,"ATLANTA, GA","LITTLE ROCK, AR",70,453,219,189,0.927,0.927
1999,"ATLANTA, GA","LITTLE ROCK, AR",70,453,201,221,0.9033,0.9033
2000,"ATLANTA, GA","LITTLE ROCK, AR",70,453,207,226,0.8852,0.8852
1997,"ATLANTA, GA","LOS ANGELES, CA",71,1946,1520,257,0.606,0.606
1998,"ATLANTA, GA","LOS ANGELES, CA",71,1946,1441,279,0.6499,0.6499
1999,"ATLANTA, GA","LOS ANGELES, CA",71,1946,1440,293,0.5579,0.5579
2000,"ATLANTA, GA","LOS ANGELES, CA",71,1946,1537,301,0.6369,0.6369
1997,"ATLANTA, GA","LOUISVILLE, KY",72,321,445,152,0.8958,0.8958
1998,"ATLANTA, GA","LOUISVILLE, KY",72,321,370,186,0.9771,0.9771
1999,"ATLANTA, GA","LOUISVILLE, KY",72,321,309,244,0.9614,0.9614
2000,"ATLANTA, GA","LOUISVILLE, KY",72,321,272,272,0.9508,0.9508
1997,"ATLANTA, GA","MEMPHIS, TN",73,332,1142,88,0.666,0.666
1998,"ATLANTA, GA","MEMPHIS, TN",73,332,1246,85,0.613,0.613
1999,"ATLANTA, GA","MEMPHIS, TN",73,332,1173,97,0.6654,0.6654
2000,"ATLANTA, GA","MEMPHIS, TN",73,332,1120,106,0.5882,0.5882
1997,"ATLANTA, GA","MIAMI, FL",74,595,816,179,0.5796,0.5796
1998,"ATLANTA, GA","MIAMI, FL",74,595,1513,109,0.5303,0.5303
1999,"ATLANTA, GA","MIAMI, FL",74,595,1566,121,0.5306,0.5306
2000,"ATLANTA, GA","MIAMI, FL",74,595,1591,134,0.5759,0.5759
1997,"ATLANTA, GA","MILWAUKEE, WI",75,669,366,207,0.428,0.428
1998,"ATLANTA, GA","MILWAUKEE, WI",75,669,326,208,0.4778,0.4778
1999,"ATLANTA, GA","MILWAUKEE, WI",75,669,394,198,0.5426,0.5426
2000,"ATLANTA, GA","MILWAUKEE, WI",75,669,401,208,0.5352,0.5352
1997,"ATLANTA, GA","MINNEAPOLIS, MN",76,906,908,215,0.4829,0.4829
1998,"ATLANTA, GA","MINNEAPOLIS, MN",76,906,963,200,0.4993,0.4993
1999,"ATLANTA, GA","MINNEAPOLIS, MN",76,906,1068,200,0.4811,0.4811
2000,"ATLANTA, GA","MINNEAPOLIS, MN",76,906,1192,141,0.546,0.546
1997,"ATLANTA, GA","MOBILE, AL",77,302,290,110,0.812,0.812
1998,"ATLANTA, GA","MOBILE, AL",77,302,231,158,0.9826,0.9826
1999,"ATLANTA, GA","MOBILE, AL",77,302,208,159,0.9875,0.9875
2000,"ATLANTA, GA","MOBILE, AL",77,302,176,165,0.9889,0.9889
1997,"ATLANTA, GA","NASHVILLE, TN",78,214,357,249,0.9848,0.9848
1998,"ATLANTA, GA","NASHVILLE, TN",78,214,349,241,0.9879,0.9879
1999,"ATLANTA, GA","NASHVILLE, TN",78,214,312,253,0.9923,0.9923
2000,"ATLANTA, GA","NASHVILLE, TN",78,214,303,274,0.991,0.991
1997,"ATLANTA, GA","NEW ORLEANS, LA",79,425,922,103,0.8294,0.8294
1998,"ATLANTA, GA","NEW ORLEANS, LA",79,425,1096,102,0.7792,0.7792
